일자,요일,팀,상대팀,경기장,이동거리,상대팀 이동거리,승패여부
04-02,일요일,키움,한화,1,0,0,1
04-04,화요일,키움,LG,1,0,28,0
04-07,금요일,키움,NC,0,364,348,0
04-11,화요일,키움,두산,0,348,291,0
04-14,금요일,키움,KIA,1,25,312,1
04-18,화요일,키움,삼성,1,0,311,0
04-21,금요일,키움,SSG,0,28,43,0
04-25,화요일,키움,KT,1,28,25,1
04-28,금요일,키움,롯데,0,401,0,0
05-02,화요일,키움,삼성,0,97,277,1
05-05,금요일,키움,SSG,1,311,28,0
05-09,화요일,키움,LG,0,25,0,0
05-12,금요일,키움,NC,1,25,28,1
05-16,화요일,키움,두산,1,0,25,0
05-19,금요일,키움,KIA,0,312,223,0
05-23,화요일,키움,KT,0,272,0,1
05-26,금요일,키움,롯데,1,28,401,0
05-30,화요일,키움,한화,0,169,215,0
06-02,금요일,키움 ,SSG,0,184,0,0
06-06,화요일,키움,LG,1,28,25,0
06-09,금요일,키움,KT,0,28,368,0
06-13,화요일,키움,KIA,1,28,291,1
06-16,금요일,키움,한화,0,169,253,0.5
06-20,화요일,키움,삼성,0,161,277,1
06-23,금요일,키움,두산,1,311,25,0
06-27,화요일,키움,KIA,0,312,0,1
06-30,금요일,키움,SSG,1,312,28,0
07-04,화요일,키움,NC,1,0,28,1
07-07,금요일,키움,두산,0,25,295,0
07-11,화요일,키움,KT,1,25,28,0
07-21,금요일,키움,롯데,0,401,57,0
07-25,화요일,키움,한화,1,401,169,0
07-28,금요일,키움,삼성,1,0,311,0.5
08-01,화요일,키움,LG,0,25,0,0
08-04,금요일,키움,NC,0,348,57,0
08-08,화요일,키움,롯데,1,364,401,0
08-11,금요일,키움,LG,0,25,291,0
08-15,화요일,키움,KIA,0,291,255,1
08-18,금요일,키움,롯데,1,312,401,1
08-22,화요일,키움,두산,1,0,25,0
08-25,금요일,키움,삼성,0,311,161,1
08-29,화요일,키움,SSG,0,313,46,
09-01,금요일,키움,KT,1,28,28,1
09-05,화요일,키움,NC,0,364,88,0
09-08,금요일,키움,한화,1,364,169,0
09-15,금요일,키움,롯데,0,401,255,0
09-20,수요일,키움,KIA,0,255,0,
09-21,목요일,키움,NC,1,312,25,1
09-22,금요일,키움,한화,0,169,0,1
09-28,목요일,키움,SSG,1,169,28,1
09-29,금요일,키움,KIA,1,0,364,0
10-01,일요일,키움,KT,0,28,31,0
10-02,월요일,키움,두산,0,31,0,0
10-07,토요일,키움,LG,1,25,25,1
10-10,화요일,키움,삼성,1,0,312,1
10-11,수요일,키움,KIA,0,312,0,0
10-13,금요일,키움,SSG,0,316,316,0
